Strain,Company,Types,Categories,SubCategory,THCLevel,THCUnit,Price,Feelings,FlavorProfile,Terpenes,Description,HardwareType,UnitWeight,PackSize,PreRollConfig,DietaryTags,TimeOfDay,ActivityScenario,IsLiveResin,IsLiveRosin,IsInfused,IsVegan,IsOrganic,ProductTags,OtherCannabinoids,OtherCannabinoidLevels,ExperienceLevel,ConsumptionMethod,OnsetTime,Duration,PriceRange
Sugar Plum UP | 2:1,ayrloom,Hybrid,Edibles,Gummy,10,mg,30.0,"Calm,Happy,Relaxed,Energetic","plum,sweet,berry,floral","Limonene,Myrcene,Caryophyllene","Sugar Plum UP by ayrloom is a 100mg THC hybrid gummy with a sweet, fruity plum and berry flavor. The 2:1 THC:CBC formula offers a balanced, relaxing experience with a touch of euphoria. Perfect for evening use. Start with half a gummy and wait at least 1 hour before consuming more.",,,10.0,,,Nighttime,Relaxation,False,False,False,False,False,,CBC,,Intermediate,Eat,30–90 min,3–4 hrs,Mid
Sunny Days Gummies,ayrloom,Hybrid,Edibles,Gummy,10,mg,30.0,"Calm,Happy,Relaxed,Energetic","citrus,earthy,herbal,pepper,spicy","Limonene,Myrcene,Caryophyllene","Enjoy uplifting sensory effects with sweet, citrusy pink lemonade flavors. refresh + invigorate with an inspiring combination of THC + CBC to help foster a creative mood boost, perfect for an afternoon pick-me-up.INGREDIENTS TAPIOCA SYRUP, CANE SUGAR, PECTIN, NATURAL FLAVORS, CITRIC ACID, SODIUM CITRATE, CANNABIS EXTRACT, NATURAL COLORS (FROM FRUIT AND VEGETABLE EXTRACTS)INSTRUCTIONS TAKE 1 GUMMY AND WAIT AT LEAST 1 HOUR TO FEEL EFFECT BEFORE CONSUMING MORE. STORE IN A COOL, DRY PLACE.",,,10.0,,,Nighttime,Relaxation,False,False,False,False,False,,CBC,,Intermediate,Eat,30–90 min,4–8 hrs,Mid
Sunny Days Pink Lemonade UP | 2:1,ayrloom,Hybrid,Edibles,Gummy,10,mg,30.0,"Calm,Happy,Relaxed,Energetic","lemon,citrus,sweet,tart","Limonene,Myrcene,Caryophyllene","Sunny Days Pink Lemonade UP by ayrloom is a 100mg THC hybrid gummy bursting with bright, tangy pink lemonade flavor. The 2:1 THC:CBC ratio delivers uplifting, energetic effects perfect for a creative mood boost. Start with half a gummy and wait at least 1 hour before consuming more.",,,10.0,,,Nighttime,Relaxation,False,False,False,False,False,,CBC,,Intermediate,Eat,30–90 min,3–4 hrs,Mid
Pillow Talk UP | 2:1,ayrloom,Hybrid,Edibles,Gummy,10,mg,30.0,"Calm,Happy,Relaxed,Energetic","lavender,floral,berry,sweet","Limonene,Myrcene,Caryophyllene","Pillow Talk UP by ayrloom is a 100mg THC hybrid gummy with soft floral and berry notes. Formulated in a 2:1 THC:CBC ratio for a deeply calming, relaxing effect. Best enjoyed in the evening when winding down. Start with half a gummy and wait at least 1 hour before consuming more.",,,10.0,,,Nighttime,Relaxation,False,False,False,False,False,,CBC,,Intermediate,Eat,30–90 min,3–4 hrs,Mid
Orchard Sunrise UP | 2:1,ayrloom,Hybrid,Edibles,Gummy,10,mg,30.0,"Calm,Happy,Relaxed,Energetic","peach,apple,citrus,fresh","Limonene,Myrcene,Caryophyllene","Orchard Sunrise UP by ayrloom is a 100mg THC hybrid gummy with a fresh, bright blend of peach, apple, and citrus. The 2:1 THC:CBC formula brings a cheerful, uplifting energy ideal for daytime or early evening. Start with half a gummy and wait at least 1 hour before consuming more.",,,10.0,,,Nighttime,Relaxation,False,False,False,False,False,,CBC,,Intermediate,Eat,30–90 min,3–4 hrs,Mid
Juicy Secret UP | 2:1,ayrloom,Hybrid,Edibles,Gummy,10,mg,30.0,"Calm,Happy,Relaxed,Energetic","tropical,mixed berry,sweet,citrus","Limonene,Myrcene,Caryophyllene","Juicy Secret UP by ayrloom is a 100mg THC hybrid gummy with a vibrant tropical and mixed berry flavor. The 2:1 THC:CBC ratio delivers a happy, relaxed, and euphoric experience. Great for social settings or creative activities. Start with half a gummy and wait at least 1 hour before consuming more.",,,10.0,,,Nighttime,Relaxation,False,False,False,False,False,,CBC,,Intermediate,Eat,30–90 min,3–4 hrs,Mid
Restore Topical,ayrloom,Hybrid,Topicals,Topical,1000,mg,55.0,"Relaxed,Calm,Sleepy,Focused,Energetic","floral,lavender,pine,pepper,spicy","Linalool,Pinene,Caryophyllene","Restore is a 1000mg of THC : 1000mg of CBD whick includes ORGANIC REFINED SHEA BUTTER, ORGANIC COCONUT MCT OIL, ORGANIC BEESWAX, CANNABIS EXTRACT, ORGANIC LAVENDER ESSENTIAL OIL, ORGANIC EUCALYPTUS ESSENTIAL OIL, ORGANIC ROSEMARY ESSENTIAL OIL.",,,,,organic,Nighttime,Relaxation,False,False,False,False,True,organic,CBD,1000mg CBD,Intermediate,Topical,15–30 min,1–2 hrs,Premium
Milk Chocolate | Infused | 100mg,Hysteria,Hybrid,Edibles,Chocolate,5,mg,40.0,"Happy,Relaxed,Focused",mint,"Myrcene,Limonene,Caryophyllene","melt-in-your-mouth, smooth, sophisticated finish is here to melt away tension and uplift your spirit with each bite. These innovative edibles are the perfect evening activity. Feel relaxed, calm, and allow your mind to unwind from daily stress.",,,20.0,,,Anytime,"Focus,Relaxation",False,False,True,False,False,,,,Intermediate,Eat,30–90 min,4–8 hrs,Mid
Dark Chocolate | Infused | 100mg,Hysteria,Hybrid,Edibles,Chocolate,5,mg,40.0,"Calm,Happy,Relaxed,Energetic","earthy,herbal,pepper,spicy,floral,lavender","Myrcene,Caryophyllene,Linalool","Our Classic Dark Chocolates are infused with 10mg THC per serving. Delicious, rich, melt-in-your-mouth, smooth, sophisticated finish is here to melt away tension and uplift your spirit with each bite. These innovative edibles are the perfect evening activity. Feel relaxed, calm, and allow your mind to unwind from daily stress",,,20.0,,,Nighttime,Relaxation,False,False,True,False,False,,,,Intermediate,Eat,30–90 min,4–8 hrs,Mid
Cookies & Cream | Infused | 100mg,Hysteria,Hybrid,Edibles,Chocolate,5,mg,40.0,"Relaxed,Sleepy,Calm,Focused,Happy","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","Indulge in the classic combination of chocolate and cream with this decadent infused chocolate edible. Each 100mg bar delivers a smooth, balanced Hybrid experience perfect for any time of day. Dominant terpenes Myrcene and Caryophyllene work together to ease the body into relaxation while Limonene keeps the mood uplifted and happy. Start with a small piece and wait at least 1-2 hours before consuming more.",,,20.0,,,Anytime,Relaxation,False,False,True,False,False,,,,Intermediate,Eat,30–90 min,4–8 hrs,Mid
Strawberry x Honey Banana | Live Rosin Gummies,MFNY,Hybrid,Edibles,Live Rosin,10,mg,30.0,"Calm,Happy,Relaxed,Energetic","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","These palate-pleasing Strawberry Honey Banana gummies are unlike any other edibles you've tried. Our vegan, full-spectrum gummies are infused with MFNY?s premium Honey Banana live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes and dazzling sweet and fruity flavors of the Honey Banana strain, paired with the natural flavor of ripe strawberry.",,,10.0,,vegan,Nighttime,Relaxation,False,True,False,True,False,"live-rosin,vegan",,,Experienced,Eat,30–90 min,4–8 hrs,Mid
Cherry x Poddy Mouth | Rosin Gummies,MFNY,Hybrid,Edibles,Live Rosin,10,mg,30.0,"Calm,Energetic,Happy,Relaxed","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","These palette-pleasing Cherry Mouth gummies are unlike any other edibles you've tried. Our vegan, full-spectrum gummies are infused with MFNY?s premium Poddy Mouth live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes and dazzling earthy and savory flavors of the Poddy Mouth strain, paired with the natural flavor of ripe cherry.",,,10.0,,vegan,Nighttime,Relaxation,False,True,False,True,False,"live-rosin,vegan",,,Experienced,Eat,30–90 min,4–8 hrs,Mid
Watermelon Fritter | Rosin Gummies,MFNY,Hybrid,Edibles,Live Rosin,10,mg,30.0,"Calm,Energetic,Happy,Relaxed","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","These mouth-watering Watermelon Fritter gummies are unlike any other edibles you've tried. Our vegan, full-spectrum gummies are infused with MFNY?s premium Apple Fritter live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes and tantalizing earthy flavors of the Apple Fritter strain, paired with the natural flavor of watermelon.",,,10.0,,vegan,Anytime,Relaxation,False,True,False,True,False,"live-rosin,vegan",,,Experienced,Eat,30–90 min,4–8 hrs,Mid
Peach x Rainbow Beltz | Rosin Gummies | 50mg,MFNY,Hybrid,Edibles,Live Rosin,10,mg,21.0,"Happy,Relaxed,Calm,Energetic","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","These palate-pleasing Raspberry x Rainbow Beltz 2.0 gummies are unlike any other edibles you've tried. Our vegan, full-spectrum gummies are infused with MFNY?s premium Rainbow Beltz 2.0 live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes and dazzling sweet and fruity flavors of the Rainbow Beltz 2.0 strain, paired with the natural flavor of ripe raspberry.",,,10.0,,vegan,Nighttime,Relaxation,False,True,False,True,False,"live-rosin,vegan",,,Experienced,Eat,30–90 min,4–8 hrs,Mid
Strawberry x Strawpaya | Rosin Gummies | 100mg,MFNY,Hybrid,Edibles,Live Rosin,10,mg,21.0,"Happy,Relaxed,Calm,Energetic","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","These palate-pleasing Raspberry x Rainbow Beltz 2.0 gummies are unlike any other edibles you've tried. Our vegan, full-spectrum gummies are infused with MFNY?s premium Rainbow Beltz 2.0 live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes and dazzling sweet and fruity flavors of the Rainbow Beltz 2.0 strain, paired with the natural flavor of ripe raspberry.",,,10.0,,vegan,Nighttime,Relaxation,False,True,False,True,False,"live-rosin,vegan",,,Experienced,Eat,30–90 min,4–8 hrs,Mid
Blueberry x Oishii | Rosin Gummies | 100mg,MFNY,Hybrid,Edibles,Live Rosin,10,mg,30.0,"Calm,Energetic,Happy,Relaxed","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","These mouth-watering Watermelon Fritter gummies are unlike any other edibles you've tried. Our vegan, full-spectrum gummies are infused with MFNY?s premium Apple Fritter live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes and tantalizing earthy flavors of the Apple Fritter strain, paired with the natural flavor of watermelon.",,,10.0,,vegan,Anytime,Relaxation,False,True,False,True,False,"live-rosin,vegan",,,Experienced,Eat,30–90 min,4–8 hrs,Mid
Pink Lemonade | Rosin Gummies,MFNY,Hybrid,Edibles,Live Rosin,10,mg,30.0,"Energetic,Focused,Uplifted","lemon,pepper,citrus","Limonene,Caryophyllene,Myrcene","A must for edible lovers, these palate-pleasing Pink Lemonade x Lemoncane gummies are unlike any other edibles you've tried. Our vegan, full-spectrum, cultivar-specific gummies are infused with MFNY?s premium Lemoncane live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes. We use the minimum amount of sugar to highlight the spicy pineapple flavors of the Pinezapple, paired with natural flavors of pineapple.",,,10.0,,vegan,Daytime,Focus,False,True,False,True,False,"live-rosin,vegan",,,Experienced,Eat,30–90 min,4–8 hrs,Mid
Black Cherry | 10mg | Single Can,Tune,Hybrid,Beverages,Drink,10,mg,5.0,"Relaxed,Happy,Calm,Energetic","citrus,earthy,herbal,pepper,spicy","Limonene,Myrcene,Caryophyllene","10mg Infused Seltzer - Made with Real Juice - Sweetened with Honey - Low Calorie Get ready to tune in and soak up summer vibes with our Sicilian Lemon & Rose 10mg infused seltzer. We've taken classic lemonade and given it a fun twist with a hint of delicate rose. In each low-calorie can, you'll find 10mg of THC, real lemon juice, and a touch of honey. .",,,1.0,,,Nighttime,Relaxation,False,False,False,False,False,,,,Intermediate,Drink,15–45 min,2–4 hrs,Budget
Sicilian Lemon & Rose | 10mg | Single Can,Tune,Hybrid,Edibles,Drink,10,mg,5.0,"Relaxed,Happy,Calm,Energetic","citrus,floral,lavender,earthy,herbal","Limonene,Linalool,Myrcene","10mg Infused Seltzer - Made with Real Juice - Sweetened with Honey - Low Calorie Get ready to tune in and soak up summer vibes with our Sicilian Lemon & Rose 10mg infused seltzer. We've taken classic lemonade and given it a fun twist with a hint of delicate rose. In each low-calorie can, you'll find 10mg of THC, real lemon juice, and a touch of honey. .",,,1.0,,,Nighttime,Relaxation,False,False,False,False,False,,,,Intermediate,Eat,30–90 min,4–8 hrs,Budget
Blueberry Dreams | CBN | 100mg,Cannabals,Hybrid,Edibles,Gummy,10,mg,22.0,"Energetic,Happy,Creative,Focused,Inspired,Calm","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","Experience the incredible advantages of cannabis without delay with CANNABALS ""Cannabis you can eat!"" Indulge in our fast-acting blueberry dream flavored indica gummies, infused with an impressive 100mg of CBN per package. Each package contains 10 vegan gummies, providing 5mg of nano-emulsified water soluble THC + 5mg of CBN in every delectable bite. Savor the authentic fruit flavor as you relish in the benefits of our premium gummies. In addition to the incredible advantages of cannabis, our CANNABALS blueberry dream flavored indica gummies are specifically formulated to promote sleep and relaxation. The inclusion of 5mg of CBN per gummy enhances the sedative effects, making these gummies perfect for those seeking a restful night's sleep or a moment of deep relaxation. CBN is known for its calming properties and ability to induce a sense of tranquility, making it an ideal choice for those looking to unwind after a long day. With our fast-acting nano-emulsified technology, you can experience the soothing effects of CBN quickly and efficiently. So, whether you're struggling with insomnia or simply need a moment of relaxation, our CANNABALS gummies are here to help you achieve a peaceful state of mind.",,,10.0,,vegan,Daytime,"Sleep,Creative,Focus,Relaxation",False,False,False,True,False,vegan,CBN,100mg CBN,Intermediate,Eat,30–90 min,4–8 hrs,Mid
Mango | 100mg,Cannabals,Hybrid,Edibles,Gummy,10,mg,22.0,"Energetic,Happy,Creative,Focused,Inspired,Calm","earthy,herbal,citrus,sweet","Myrcene,Limonene,Valencene","Experience the luscious and tropical taste of ripe mangoes with our CANNABALS Mango flavored sativa gummies! These delectable treats not only provide a burst of fruity flavor, but they also offer a fast-acting and potent cannabis experience. Thanks to our innovative nano-emulsified technology, the THC in our gummies is broken down into tiny particles that are easily absorbed by the body. This means that you can start feeling the effects within minutes, allowing you to enjoy the benefits of cannabis without delay. Each package contains 10 vegan gummies, with each gummy delivering a potent 10mg of nano-emulsified water soluble THC. This ensures that you get a consistent and reliable dose with every bite. And with the succulent and tropical taste of ripe mangoes, you'll savor every moment of your cannabis experience. Don't miss out on the mouthwatering sensation - try our Mango flavored sativa gummies today and elevate your cannabis experience to new heights. CANNABALS - cannabis you can eat, with a delicious mango twist!",,,10.0,,vegan,Daytime,"Creative,Focus,Relaxation",False,False,False,True,False,vegan,,,Intermediate,Eat,30–90 min,4–8 hrs,Mid
Bangin Blueberrv | Gummies | 100mg,Gezoont,Hybrid,Edibles,Gummy,10,mg,24.0,"Happy,Relaxed,Sleepy,Calm,Uplifted","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","Our Bangin Blueberry Gummies are made from the same recipe that won first place in the 2016 Santa Cruz Cup.Hand crafted in small batches we only use real fruit and our finest premium, house made, full spectrum CO2 oil.Indulge in all-natural perfection, elevate, and embrace THC bliss in every moment as nature's power unfolds.Gezoont, Where Culinary Chef and Cannabis Blend....****All our gummies deliver calm, happy, and uplifting effects****",,,10.0,,,Anytime,Relaxation,False,False,False,False,False,,,,Intermediate,Eat,30–90 min,4–8 hrs,Mid
Kims Karamels | 100mg,Gezoont,Hybrid,Edibles,Caramel,10,mg,25.0,"Happy,Relaxed,Sleepy,Calm,Uplifted","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","Kim?s Caramels are hand crafted in small batches with our in-house made, full spectrum Distillate. Soft, velvety caramels that will melt in your mouth and melt your stress away. Indulge in all-natural perfection, elevate, and embrace THC bliss in every moment as nature's power unfolds.****All our Caramels deliver calm, happy, and uplifting effects****",,,10.0,,,Anytime,Relaxation,False,False,False,False,False,,,,Intermediate,Eat,30–90 min,4–8 hrs,Mid
Yuzu Lemon 1:1 | Camino | Balance | 100mg,Kiva,Hybrid,Edibles,Gummy,5,mg,33.0,"Relaxed,Clear-minded,Calm,Happy","citrus,earthy,herbal,pepper,spicy","Limonene,Myrcene,Caryophyllene","Harmony is here and now. Dip your feet into the slow current of a cool river. Let the blend of THC and CBD, hybrid-like terpenes, and sweet notes of citrus balance you from the inside out.",,,20.0,,,Nighttime,Relaxation,False,False,False,False,False,,CBD,,Beginner,Eat,30–90 min,4–8 hrs,Mid
Dark Chocolate with Quinoa Crunch | 20mg,Scandalous,Hybrid,Edibles,Chocolate,5,mg,10.0,"Relaxed,Sleepy,Calm,Focused,Happy","earthy,herbal,pepper,spicy,citrus","Myrcene,Caryophyllene,Limonene","20 mg THC Single sourced Colombian dark chocolate blended with crispy quinoa crunch to create a great tasting, rich cannabis edible.All natural, gluten free, vegan, single source, fair trade.1 Chocolate, 2 servnigs per package. 10mg THC per serving At Scandalous Chocolates, we are deeply committed to quality and sustainability.We source all-natural cacao products from South American farmers who have upheld over a century of fair practice agriculture. This ensures that every ingredient in our chocolates meets the highest standards of purity and flavor. Our carefully handcrafted products are meticulously made, surprisingly affordable and conveniently packaged for the ultimate scandalous experience.",,,20.0,,"vegan,gluten-free",Anytime,Relaxation,False,False,False,True,False,vegan,,,Intermediate,Eat,30–90 min,4–8 hrs,Budget
Matcha Latte Caramel | 10mg 2 Pack,Soft Power Sweets,Hybrid,Edibles,Caramel,5,mg,12.0,"Relaxed,Sleepy,Happy","earthy,herbal,citrus,pepper,spicy","Myrcene,Limonene,Caryophyllene","A smooth matcha latte caramel made with coconut milk and maple syrup and enriched with white chocolate. Two 10mg THC Caramels Per Unit, 20mg Total",,,2.0,,,Nighttime,"Sleep,Relaxation",False,False,False,False,False,,,,Intermediate,Eat,30–90 min,4–8 hrs,Budget
Raspberry Rainbow Caramel | 2 Pack | 20mg,Soft Power Sweets,Hybrid,Edibles,Caramel,10,mg,12.0,"Relaxed,Clear-minded,Calm,Sleepy,Happy","citrus,earthy,herbal,pepper,spicy","Limonene,Myrcene,Caryophyllene","A bright, fruity, raspberry caramel infused with almond for beautiful marzipan flavor - a rainbow cookie turned into a lush confection. Two 10mg THC Caramels Per Unit, 20mg Total",,,2.0,,,Nighttime,"Sleep,Relaxation",False,False,False,False,False,,,,Intermediate,Eat,30–90 min,4–8 hrs,Budget
